"","country","continent","leg_pow","ex_pow","jud_pow","leg_share","ex_share","jud_share","SPI_index","freedom_vdem","num_rights","dummy_freexp","replace_ex","serve_min","interpellate","investigate","oversee_pol","appoint_pm","appoint_min","lack_pres","no_conf","no_diss","no_decree","no_veto","no_review","no_gate","no_impound","cont_resor","immunity","elected","amend","war","treaty","amnesty","pardon","judiciary","bank","media","sessions","secretary","staff","no_limit","seek_reelect","experience","jscore_1","jscore_2","jscore_3","jscore_4","jscore_5","jscore_6","jscore_7","jscore_8","jscore_9","jscore_10","escore_1","escore_2","escore_3","escore_4","escore_5","escore_6","escore_7","escore_8","escore_9","log_vdem","con_age","mil_spend","nat_inc","gender_development","gender_inequality","brit_col","chrst_pct","islm_pct","jud_pct","bud_pct","rel_dom","mil_events","gini_index","polity","dummy_eu","dummy_am"
"11","Belgium","Europe",0.785005466,0.333,0.633,0.448316970587915,0.190176448027147,0.361506581384938,0.228,0.980291345921024,34,1,0.036001665,0,0.035832422,0.038494086,0.035647801,0.032693817,0.030709109,0.024693446,0.034832379,0,0.03389387,0.03703248,0,0.036217058,0.033632321,0.03629398,0,0.037801742,0.032678433,0,0.034001569,0.020077851,0,0.029985998,0,0.023554932,0.035893966,0.025785805,0,0.032186099,0.033816947,0.03324769,1,0.67,0.33,1,1,0,0,1,1,0.33,0.5,0.5,0.5,0,1,0,0,0.5,0,-3.92669744635023,177,1.213897974,40502.6465,0.97,0.078,0,0.7772,0.0382,0.0048,0.001,FALSE,0,25.7,8,1,0
"12","Benin","Africa",0.601720079,0.222,0.566,0.432979337416625,0.159744399864859,0.407276262718515,0.261,0.871637453471021,42,1,0,0,0.035832422,0.038494086,0,0,0,0,0,0.036478606,0.03389387,0.03703248,0,0.036217058,0.033632321,0.03629398,0.024154961,0.037801742,0.032678433,0,0.034001569,0.020077851,0,0.029985998,0,0,0.035893966,0,0,0.032186099,0.033816947,0.03324769,1,0.33,0.33,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,-2.0528966239767,18,0.975750986,697.5054499,0.832,0.62,0,0.4275,0.2288,0,0,FALSE,0,44.6,7,0,0
"13","Bolivia","Americas",0.455713329,0.333,0.58,0.332950165198545,0.243294189473039,0.423755645328416,0.156,0.840140995876203,61,1,0,0,0.035832422,0.038494086,0,0,0,0,0,0.036478606,0.03389387,0,0,0,0.033632321,0.03629398,0,0.037801742,0,0.034616981,0.034001569,0.020077851,0.018600857,0.029985998,0,0,0,0,0,0.032186099,0.033816947,0,1,0.33,0.67,0.8,1,0,1,0,1,0,0.5,0,0,0,1,0,0,0.5,1,-1.8334630764809,41,1.962268215,1379.241132,0.917,0.499,0,0.9582,2e-04,0,7e-04,TRUE,0,47.6,8,0,1
"14","Bosnia-Herzegovina","Europe",0.627628968,0.056,0.358,0.60254561583967,0.0537619456835229,0.343692438476807,0.476,0.788964927236745,28,1,0,0,0.035832422,0.038494086,0.035647801,0,0.030709109,0,0.034832379,0,0.03389387,0.03703248,0,0.036217058,0.033632321,0.03629398,0,0.037801742,0.032678433,0,0.034001569,0.020077851,0.018600857,0.029985998,0,0,0.035893966,0,0,0.032186099,0.033816947,0,0.25,0.33,0,0,1,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,-1.55573093769255,13,1.221333095,4665.769962,0.928,0.225,0,0.5171,0.4306,3e-04,0,FALSE,0,39.7,-66,1,0
"15","Botswana","Africa",0.482837676,0.611,0.392,0.324959909012295,0.41121584804934,0.263824242938365,0.128,0.832457159857534,35,1,0.036001665,0.020708647,0.035832422,0,0.035647801,0,0,0.024693446,0.034832379,0,0.03389387,0.03703248,0,0,0,0.03629398,0,0,0.032678433,0,0,0.020077851,0,0,0,0,0.035893966,0,0,0.032186099,0.033816947,0.03324769,0.62,0,0,0.8,1,0.5,0,0,1,0,0.5,1,1,1,1,0,0,0,1,-1.78651619837398,42,3.036968238,3927.337842,0.975,0.496,1,0.6667,0.0249,2e-04,5e-04,FALSE,0,59.1,8,0,0
"16","Brazil","Americas",0.601058511,0.611,0.599,0.331882436348298,0.337371761480322,0.33074580217138,0.006,0.940332015907438,75,1,0.036001665,0,0.035832422,0.038494086,0,0,0,0,0,0.036478606,0,0.03703248,0,0,0,0.03629398,0,0.037801742,0.032678433,0.034616981,0.034001569,0.020077851,0,0.029985998,0,0,0.035893966,0.025785805,0.030832191,0.032186099,0.033816947,0.03324769,1,0.33,0.33,1,1,0,1,0,1,0.33,0.5,0.5,0.5,0.5,0.5,0,1,1,1,-2.81895968228964,20,1.441924069,7074.714332,1.001,0.452,0,0.8582,3e-04,5e-04,0.0015,TRUE,0,47.2,8,0,1
"17","Bulgaria","Europe",0.816560769,0.667,0.521,0.407351466529673,0.33274122207467,0.259907311395657,0.128,0.886155314889419,66,1,0.036001665,0,0.035832422,0.038494086,0.035647801,0.032693817,0.030709109,0,0.034832379,0,0.03389387,0.03703248,0,0.036217058,0.033632321,0.03629398,0.024154961,0.037801742,0.032678433,0.034616981,0.034001569,0.020077851,0,0.029985998,0.023262612,0.023554932,0.035893966,0,0,0.032186099,0.033816947,0.03324769,0.75,0.33,0,0.8,1,0,1,0,1,0.33,0.5,1,1,0.5,0,0,1,1,1,-2.17292017082444,17,1.907749062,5974.134123,0.991,0.234,0,0.8273,0.1273,4e-04,0,TRUE,1,32.6,9,1,0
"18","Burkina Faso (Upper Volta)","Africa",0.570641723,0.556,0.567,0.33693178152768,0.328286669163499,0.33478154930882,0.008,0.823662799745244,51,1,0,0,0.035832422,0.038494086,0,0,0,0,0.034832379,0,0,0.03703248,0,0.036217058,0,0.03629398,0.024154961,0.037801742,0.032678433,0.034616981,0.034001569,0,0,0.029985998,0,0.023554932,0.035893966,0,0,0.032186099,0.033816947,0.03324769,1,0,0.67,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,-1.73535720642131,17,1.397903771,484.388182,0.829,0.615,0,0.2259,0.58,0,0,FALSE,0,40.7,0,0,0
"19","Burundi","Africa",0.493284309,0.722,0.554,0.278804433233687,0.408074607527648,0.313120959238666,0.116,0.66622306724662,51,1,0,0,0.035832422,0.038494086,0.035647801,0,0.030709109,0,0.034832379,0,0,0,0,0.036217058,0.033632321,0,0.024154961,0.037801742,0,0,0.034001569,0.020077851,0,0.029985998,0,0,0.035893966,0,0,0.032186099,0.033816947,0,0.88,0.33,0,0,1,1,0,1,1,0.33,0.5,1,0,0,1,1,1,1,1,-1.09728237513513,3,2.720890527,104.2494517,0.907,0.498,0,0.8777,0.0297,0,0,TRUE,3,36.6,6,0,0
"20","Cameroon","Africa",0.339815691,0.556,0.395,0.263256554262014,0.430735389937245,0.306008055800741,0.151,0.732845765730677,34,1,0,0,0.035832422,0.038494086,0,0,0,0,0.034832379,0,0,0.03703248,0,0.036217058,0,0,0.024154961,0,0,0,0.034001569,0,0,0,0,0,0,0,0,0.032186099,0.033816947,0.03324769,0.62,0.33,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,-1.31992913092173,36,1.486073738,1109.900387,0.852,0.621,0,0.5015,0.1963,0,0,FALSE,0,43,-4,0,0
