Series Name,Series Code,country,Country Code,income2003,income2004,income2005,income2006,income2007,income2008,income2009,income2010,income2011,income2012,income2013,income2014,income2015,income2016,income2017
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,2537.941442,2992.162371,3926.943416,4806.548114,5959.909673,7074.714332,7067.617545,9348.34907,10958.89728,10326.03682,10403.02574,10151.54307,7460.856524,7352.156644,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brunei,BRN,14237.76728,16314.50432,18309.94182,21457.76028,24708.07224,28210.66203,22196.89945,26986.31109,32317.71757,33825.00956,33921.88585,32949.55001,27860.13618,24809.20786,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bulgaria,BGR,2357.318871,2924.887065,3318.319867,3704.607827,4634.186657,5974.134123,5802.643819,5580.350044,6348.5047,6166.983226,6391.005104,6563.615172,5797.339762,6326.075104,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Burkina Faso (Upper Volta),BFA,302.797157,333.0532679,360.5943472,372.3292803,411.5941779,484.388182,460.7097828,454.6326324,500.947465,517.3814354,541.5344086,534.5250763,414.9702197,455.1429818,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Burundi,BDI,47.89412899,65.39179479,84.44038286,101.478384,90.89441984,104.2494517,114.0856727,146.8217194,166.0249831,190.1259639,205.5235575,232.1525767,217.507403,201.7006078,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cabo Verde,CPV,1449.61899,1619.494656,1617.736908,1793.656823,2488.565294,2867.653941,2682.417536,2504.829928,2790.987746,2540.035238,2585.151965,2602.397711,2201.208052,2178.452293,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cambodia,KHM,317.6004532,354.6120302,413.0664983,467.0986549,547.5172646,639.2259931,622.133658,660.5672392,742.8323291,801.2540333,867.1091008,915.8701657,968.7968726,1055.949382,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cameroon,CMR,734.5373578,861.4965324,843.1374587,890.6815487,986.6790814,1109.900387,1132.438228,1083.684185,1166.297325,1112.605904,1206.355205,1299.661555,1141.000777,1147.990182,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Canada,CAN,22739.42628,25719.14715,29198.05569,32738.2629,36144.48122,37446.48609,32755.17682,38420.52289,42334.71121,42665.25597,42676.46837,41039.8936,35175.18898,34229.19363,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Central African Republic,CAF,266.1884271,289.8118616,301.2658002,322.8337751,366.6922185,416.4112721,409.3522569,405.9188569,444.8297818,427.9366389,275.792659,313.5274499,281.7643892,299.1270511,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Chad,TCD,206.2033918,224.0344199,352.2797019,383.5744289,465.3153107,517.6730597,615.3012173,675.5592318,702.3839406,712.9833794,739.107343,777.6412848,632.9482889,535.6767783,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Chile,CHL,3708.429785,4501.593266,5456.778969,6030.128683,6822.999575,7468.454107,7428.571049,9191.857509,10635.15936,11484.20948,12058.79192,11349.82989,10725.58664,10860.15443,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1128.268345,1298.870097,1488.339614,1772.994629,2256.343123,2809.237884,3192.419187,3670.49174,4382.443555,5007.502476,5520.334252,6064.120073,6352.626327,6309.001584,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Colombia,COL,1812.686478,2201.281478,2699.821776,2936.431593,3732.661895,4269.024533,4158.912948,4986.449737,5574.162914,6163.536455,6341.800862,6297.218084,5033.500039,4820.328527,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Comoros,COM,477.8035053,541.0019182,546.4733118,569.1559379,635.3271227,697.1860846,679.3595437,679.2656867,740.897679,707.728029,756.682723,778.2006616,666.2781844,716.0222934,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Congo, Democratic Republic Of (Zaire)",COD,139.4293178,154.8488172,171.0778281,182.5299215,194.5960588,210.9201547,197.6609344,227.6536776,239.5048315,265.7267308,293.1247636,317.4481609,345.7129665,331.9769405,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Congo,COG,284.706883,226.2914134,118.5968852,71.90918078,310.1970571,502.8055055,630.0841181,510.5479731,310.8824289,456.5583611,801.9341358,1019.359399,1114.34038,900.8803572,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Costa Rica,CRI,3708.715663,3953.545436,4211.706213,4735.303287,5552.425736,6321.029832,6141.526112,7373.219044,8270.957192,9011.537203,9486.740664,9504.345267,10169.66813,10441.63356,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cote D'Ivoire,CIV,696.434671,771.5008722,830.1603097,829.9331234,946.0524815,1100.602702,1104.223249,1102.77322,1073.396017,1135.53436,1280.714333,1457.573376,1320.050528,1406.311247,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Croatia,HRV,6247.218558,7595.231346,8460.31179,9359.599181,11209.74974,13019.49416,11341.05032,10885.31936,11781.27703,10697.28618,11164.43134,11101.3359,9681.344737,9685.729067,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cuba,CUB,2770.693545,2922.995713,3262.328185,4038.75275,4356.384049,4573.175174,4675.60005,4803.673809,5150.745586,5475.437405,5791.98897,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cyprus,CYP,17313.27519,20300.52014,21456.45427,22947.14218,27282.98154,30567.40037,27902.68417,26229.72467,28352.27084,24504.54817,22868.23173,22509.96222,19572.21828,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Czech Republic,CZE,7290.524354,8654.307557,9957.420748,11167.46717,13473.42444,16506.80552,14055.96354,14052.99286,15359.37102,14203.59613,14308.53317,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Denmark,DNK,32800.68937,38159.93202,40185.3825,43160.01577,47972.02519,52254.46688,47601.99159,48078.04986,51336.79878,48758.08713,51911.26527,53696.20432,45583.10194,45727.88997,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Djibouti,DJI,827.2360281,884.0248089,921.4016446,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Dominica,DMA,4287.386832,4490.239871,4445.655444,4861.88068,5155.707406,5618.485294,5907.722883,5977.210413,5816.064345,5413.279574,5416.245284,5674.979375,5691.329158,6089.319441,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Dominican Republic,DOM,2026.620418,2049.614867,3267.53529,3400.811638,4089.085158,4579.156844,4556.190691,4996.474133,5235.771485,5408.73482,5363.774425,5569.050304,5800.164684,5976.007944,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ecuador,ECU,1960.640674,2090.351907,2264.049919,2464.428168,2634.054486,3263.527529,3449.233373,3683.597336,4083.63702,4539.552974,4869.471137,5113.108374,5101.469859,4937.909444,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Egypt,EGY,994.8582002,904.607157,980.0266761,1163.742992,1404.660271,1675.276548,2012.341593,2226.879758,2284.189669,2693.433294,2732.426515,2862.431588,3183.980788,3126.719992,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,El Salvador,SLV,2318.133824,2410.982768,2601.478351,2813.908038,3027.048317,3211.16682,3042.633959,3145.563828,3393.40842,3371.152175,3406.267748,3475.846835,3571.960113,3609.123279,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Equatorial Guinea,GNQ,..,..,..,1725.206487,4287.731365,5390.37681,4972.052229,2930.218262,4094.783199,4598.915358,5438.137375,6111.873722,4631.198156,3983.823384,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Eritrea,ERI,197.4215669,246.2899017,240.735049,261.8275094,275.6042915,278.2773549,376.3830453,422.9302236,433.3617799,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Estonia,EST,5881.278123,7259.771537,8608.35112,10332.18424,13322.16815,14574.16854,11779.59222,11456.55768,13948.83105,14045.83418,15614.61215,16250.93293,14031.63889,14570.40909,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Eswatini,SWZ,1713.019064,2201.364095,2669.242171,2575.244486,2675.976939,2448.103555,2557.919934,3012.043925,3391.491325,3331.732633,3149.255951,2936.201361,2659.162118,2381.911943,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Ethiopia,ETH,72.4253277,92.38948008,116.616682,143.1588719,175.3932832,243.9651901,286.684649,258.8923602,263.5695613,351.9681598,375.9444807,432.5521467,482.5649109,522.8082799,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Fiji,FJI,2548.702717,3028.218316,3382.82202,3269.257095,3644.623019,3745.81965,3073.447005,3221.28761,3686.372489,3818.902124,4136.444051,4217.076917,4131.984274,4353.991443,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Finland,FIN,26960.6456,31382.62204,32253.89832,34239.89861,40016.77426,43814.88662,38473.83886,38004.84294,41400.79917,38447.28938,40167.71737,40694.91148,34699.89787,35599.95265,..
